      TIME              V(1)              V(2)               VV1               VV2            {VV1-VV2}          DIFWIN             DIFTD        EQNRETURNNEGONE   EQNRETURNNEG100 
   1.02300000e-07    6.42769813e-04    0.00000000e+00    1.00064277e+00    1.20000000e+01   -1.09993572e+01   -1.09993572e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.04700000e-07    1.28616768e-03    0.00000000e+00    1.00128617e+00    1.20000000e+01   -1.09987138e+01   -1.09987138e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   4.09500000e-07    2.57296154e-03    0.00000000e+00    1.00257296e+00    1.20000000e+01   -1.09974270e+01   -1.09974270e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   8.19100000e-07    5.14653437e-03    0.00000000e+00    1.00514653e+00    1.20000000e+01   -1.09948535e+01   -1.09948535e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.63830000e-06    1.02935607e-02    0.00000000e+00    1.01029356e+00    1.20000000e+01   -1.09897064e+01   -1.09897064e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   3.27670000e-06    2.05866589e-02    0.00000000e+00    1.02058666e+00    1.20000000e+01   -1.09794133e+01   -1.09794133e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   6.55350000e-06    4.11652198e-02    0.00000000e+00    1.04116522e+00    1.20000000e+01   -1.09588348e+01   -1.09588348e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.31071000e-05    8.22612786e-02    0.00000000e+00    1.08226128e+00    1.20000000e+01   -1.09177387e+01   -1.09177387e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.96607000e-05    1.23217876e-01    0.00000000e+00    1.12321788e+00    1.20000000e+01   -1.08767821e+01   -1.08767821e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.62143000e-05    1.63965577e-01    0.00000000e+00    1.16396558e+00    1.20000000e+01   -1.08360344e+01   -1.08360344e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   3.27679000e-05    2.04435299e-01    0.00000000e+00    1.20443530e+00    1.20000000e+01   -1.07955647e+01   -1.07955647e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   3.93215000e-05    2.44558433e-01    0.00000000e+00    1.24455843e+00    1.20000000e+01   -1.07554416e+01   -1.07554416e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   4.58751000e-05    2.84266956e-01    0.00000000e+00    1.28426696e+00    1.20000000e+01   -1.07157330e+01   -1.07157330e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   5.24287000e-05    3.23493548e-01    0.00000000e+00    1.32349355e+00    1.20000000e+01   -1.06765065e+01   -1.06765065e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   5.89823000e-05    3.62171707e-01    0.00000000e+00    1.36217171e+00    1.20000000e+01   -1.06378283e+01   -1.06378283e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   6.55359000e-05    4.00235859e-01    0.00000000e+00    1.40023586e+00    1.20000000e+01   -1.05997641e+01   -1.05997641e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   7.20895000e-05    4.37621474e-01    0.00000000e+00    1.43762147e+00    1.20000000e+01   -1.05623785e+01   -1.05623785e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   7.86431000e-05    4.74265168e-01    0.00000000e+00    1.47426517e+00    1.20000000e+01   -1.05257348e+01   -1.05257348e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   8.51967000e-05    5.10104820e-01    0.00000000e+00    1.51010482e+00    1.20000000e+01   -1.04898952e+01   -1.04898952e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   9.17503000e-05    5.45079668e-01    0.00000000e+00    1.54507967e+00    1.20000000e+01   -1.04549203e+01   -1.04549203e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   9.83039000e-05    5.79130417e-01    0.00000000e+00    1.57913042e+00    1.20000000e+01   -1.04208696e+01   -1.04208696e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.04857500e-04    6.12199340e-01    0.00000000e+00    1.61219934e+00    1.20000000e+01   -1.03878007e+01   -1.03878007e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.11411100e-04    6.44230373e-01    0.00000000e+00    1.64423037e+00    1.20000000e+01   -1.03557696e+01   -1.03557696e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.17964700e-04    6.75169214e-01    0.00000000e+00    1.67516921e+00    1.20000000e+01   -1.03248308e+01   -1.03248308e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.24518300e-04    7.04963409e-01    0.00000000e+00    1.70496341e+00    1.20000000e+01   -1.02950366e+01   -1.02950366e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.31071900e-04    7.33562448e-01    0.00000000e+00    1.73356245e+00    1.20000000e+01   -1.02664376e+01   -1.02664376e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.37625500e-04    7.60917845e-01    0.00000000e+00    1.76091784e+00    1.20000000e+01   -1.02390822e+01   -1.02390822e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.44179100e-04    7.86983223e-01    0.00000000e+00    1.78698322e+00    1.20000000e+01   -1.02130168e+01   -1.02130168e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.50732700e-04    8.11714393e-01    0.00000000e+00    1.81171439e+00    1.20000000e+01   -1.01882856e+01   -1.01882856e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.57286300e-04    8.35069426e-01    0.00000000e+00    1.83506943e+00    1.20000000e+01   -1.01649306e+01   -1.01649306e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.63839900e-04    8.57008728e-01    0.00000000e+00    1.85700873e+00    1.20000000e+01   -1.01429913e+01   -1.01429913e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.70393500e-04    8.77495104e-01    0.00000000e+00    1.87749510e+00    1.20000000e+01   -1.01225049e+01   -1.01225049e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.76947100e-04    8.96493823e-01    0.00000000e+00    1.89649382e+00    1.20000000e+01   -1.01035062e+01   -1.01035062e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.83500700e-04    9.13972675e-01    0.00000000e+00    1.91397267e+00    1.20000000e+01   -1.00860273e+01   -1.00860273e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.90054300e-04    9.29902027e-01    0.00000000e+00    1.92990203e+00    1.20000000e+01   -1.00700980e+01   -1.00700980e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.96607900e-04    9.44254875e-01    0.00000000e+00    1.94425487e+00    1.20000000e+01   -1.00557451e+01   -1.00557451e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.00000000e-04    9.51056516e-01    0.00000000e+00    1.95105652e+00    1.20000000e+01   -1.00489435e+01   -1.00489435e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.00655360e-04    9.52320904e-01    3.27680000e-03    1.95232090e+00    1.20032768e+01   -1.00509559e+01   -1.00509559e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.01137860e-04    9.53241473e-01    5.68930087e-03    1.95324147e+00    1.20056893e+01   -1.00524478e+01   -1.00524478e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.02102861e-04    9.55056321e-01    1.05143026e-02    1.95505632e+00    1.20105143e+01   -1.00554580e+01   -1.00554580e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.04032861e-04    9.58580617e-01    2.01643061e-02    1.95858062e+00    1.20201643e+01   -1.00615837e+01   -1.00615837e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.07892863e-04    9.65205831e-01    3.94643130e-02    1.96520583e+00    1.20394643e+01   -1.00742585e+01   -1.00742585e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.15612865e-04    9.76749539e-01    7.80643269e-02    1.97674954e+00    1.20780643e+01   -1.01013148e+01   -1.01013148e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.23332868e-04    9.85995550e-01    1.16664341e-01    1.98599555e+00    1.21166643e+01   -1.01306688e+01   -1.01306688e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.31052871e-04    9.92922114e-01    1.55264355e-01    1.99292211e+00    1.21552644e+01   -1.01623422e+01   -1.01623422e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.38772874e-04    9.97512937e-01    1.93864369e-01    1.99751294e+00    1.21938644e+01   -1.01963514e+01   -1.01963514e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.46492877e-04    9.99757219e-01    2.32464383e-01    1.99975722e+00    1.22324644e+01   -1.02327072e+01   -1.02327072e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.54212879e-04    9.99649682e-01    2.71064396e-01    1.99964968e+00    1.22710644e+01   -1.02714147e+01   -1.02714147e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.61932882e-04    9.97190578e-01    3.09664410e-01    1.99719058e+00    1.23096644e+01   -1.03124738e+01   -1.03124738e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.69652885e-04    9.92385692e-01    3.48264424e-01    1.99238569e+00    1.23482644e+01   -1.03558787e+01   -1.03558787e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.77372888e-04    9.85246327e-01    3.86864438e-01    1.98524633e+00    1.23868644e+01   -1.04016181e+01   -1.04016181e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.85092890e-04    9.75789277e-01    4.25464452e-01    1.97578928e+00    1.24254645e+01   -1.04496752e+01   -1.04496752e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.92812893e-04    9.64036789e-01    4.64064466e-01    1.96403679e+00    1.24640645e+01   -1.05000277e+01   -1.05000277e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   3.00532896e-04    9.50016510e-01    5.02664480e-01    1.95001651e+00    1.25026645e+01   -1.05526480e+01   -1.05000277e+01   -1.05526480e+01   -1.00000000e+00   -1.00000000e+02
   3.08252899e-04    9.33761421e-01    5.41264494e-01    1.93376142e+00    1.25412645e+01   -1.06075031e+01   -1.05000277e+01   -1.06075031e+01   -1.00000000e+00   -1.00000000e+02
   3.15972902e-04    9.15309760e-01    5.79864508e-01    1.91530976e+00    1.25798645e+01   -1.06645547e+01   -1.05000277e+01   -1.06645547e+01   -1.00000000e+00   -1.00000000e+02
   3.23692904e-04    8.94704933e-01    6.18464522e-01    1.89470493e+00    1.26184645e+01   -1.07237596e+01   -1.05000277e+01   -1.07237596e+01   -1.00000000e+00   -1.00000000e+02
   3.31412907e-04    8.71995409e-01    6.57064535e-01    1.87199541e+00    1.26570645e+01   -1.07850691e+01   -1.05000277e+01   -1.07850691e+01   -1.00000000e+00   -1.00000000e+02
   3.39132910e-04    8.47234612e-01    6.95664549e-01    1.84723461e+00    1.26956645e+01   -1.08484299e+01   -1.05000277e+01   -1.08484299e+01   -1.00000000e+00   -1.00000000e+02
   3.46852913e-04    8.20480788e-01    7.34264563e-01    1.82048079e+00    1.27342646e+01   -1.09137838e+01   -1.05000277e+01   -1.09137838e+01   -1.00000000e+00   -1.00000000e+02
   3.54572915e-04    7.91796872e-01    7.72864577e-01    1.79179687e+00    1.27728646e+01   -1.09810677e+01   -1.05000277e+01   -1.09810677e+01   -1.00000000e+00   -1.00000000e+02
   3.62292918e-04    7.61250340e-01    8.11464591e-01    1.76125034e+00    1.28114646e+01   -1.10502143e+01   -1.05000277e+01   -1.10502143e+01   -1.00000000e+00   -1.00000000e+02
   3.70012921e-04    7.28913050e-01    8.50064605e-01    1.72891305e+00    1.28500646e+01   -1.11211516e+01   -1.05000277e+01   -1.11211516e+01   -1.00000000e+00   -1.00000000e+02
   3.77732924e-04    6.94861072e-01    8.88664619e-01    1.69486107e+00    1.28886646e+01   -1.11938035e+01   -1.05000277e+01   -1.11938035e+01   -1.00000000e+00   -1.00000000e+02
   3.85452927e-04    6.59174508e-01    9.27264633e-01    1.65917451e+00    1.29272646e+01   -1.12680901e+01   -1.05000277e+01   -1.12680901e+01   -1.00000000e+00   -1.00000000e+02
   3.93172929e-04    6.21937309e-01    9.65864647e-01    1.62193731e+00    1.29658646e+01   -1.13439273e+01   -1.05000277e+01   -1.13439273e+01   -1.00000000e+00   -1.00000000e+02
   4.00000000e-04    5.87785252e-01    1.00000000e+00    1.58778525e+00    1.30000000e+01   -1.14122147e+01   -1.05000277e+01   -1.14122147e+01   -1.00000000e+00   -1.00000000e+02
   4.00772000e-04    5.83854118e-01    1.00000000e+00    1.58385412e+00    1.30000000e+01   -1.14161459e+01   -1.05000277e+01   -1.14161459e+01   -1.00000000e+00   -1.00000000e+02
   4.01322881e-04    5.81040552e-01    1.00000000e+00    1.58104055e+00    1.30000000e+01   -1.14189594e+01   -1.05000277e+01   -1.14189594e+01   -1.00000000e+00   -1.00000000e+02
   4.02424643e-04    5.75392569e-01    1.00000000e+00    1.57539257e+00    1.30000000e+01   -1.14246074e+01   -1.05000277e+01   -1.14246074e+01   -1.00000000e+00   -1.00000000e+02
   4.04628165e-04    5.64014155e-01    1.00000000e+00    1.56401415e+00    1.30000000e+01   -1.14359858e+01   -1.05000277e+01   -1.14359858e+01   -1.00000000e+00   -1.00000000e+02
   4.09035211e-04    5.40935188e-01    1.00000000e+00    1.54093519e+00    1.30000000e+01   -1.14590648e+01   -1.05000277e+01   -1.14590648e+01   -1.00000000e+00   -1.00000000e+02
   4.17849303e-04    4.93551059e-01    1.00000000e+00    1.49355106e+00    1.30000000e+01   -1.15064489e+01   -1.05000277e+01   -1.15064489e+01   -1.00000000e+00   -1.00000000e+02
   4.26663395e-04    4.44653591e-01    1.00000000e+00    1.44465359e+00    1.30000000e+01   -1.15553464e+01   -1.05000277e+01   -1.15553464e+01   -1.00000000e+00   -1.00000000e+02
   4.35477487e-04    3.94392715e-01    1.00000000e+00    1.39439272e+00    1.30000000e+01   -1.16056073e+01   -1.05000277e+01   -1.16056073e+01   -1.00000000e+00   -1.00000000e+02
   4.53105671e-04    2.90400894e-01    1.00000000e+00    1.29040089e+00    1.30000000e+01   -1.17095991e+01   -1.05000277e+01   -1.17095991e+01   -1.00000000e+00   -1.00000000e+02
   4.70733855e-04    1.82850067e-01    1.00000000e+00    1.18285007e+00    1.30000000e+01   -1.18171499e+01   -1.05000277e+01   -1.18171499e+01   -1.00000000e+00   -1.00000000e+02
   4.88362038e-04    7.30583212e-02    1.00000000e+00    1.07305832e+00    1.30000000e+01   -1.19269417e+01   -1.05000277e+01   -1.19269417e+01   -1.00000000e+00   -1.00000000e+02
   5.23618406e-04   -1.47854742e-01    1.00000000e+00    8.52145258e-01    1.30000000e+01   -1.21478547e+01   -1.05000277e+01   -1.21478547e+01   -1.00000000e+00   -1.00000000e+02
   5.58874773e-04   -3.61541881e-01    1.00000000e+00    6.38458119e-01    1.30000000e+01   -1.23615419e+01   -1.05000277e+01   -1.23615419e+01   -1.00000000e+00   -1.00000000e+02
   5.90605504e-04   -5.39035151e-01    1.00000000e+00    4.60964849e-01    1.30000000e+01   -1.25390352e+01   -1.05000277e+01   -1.25390352e+01   -1.00000000e+00   -1.00000000e+02
   6.00000000e-04   -5.87785252e-01    1.00000000e+00    4.12214748e-01    1.30000000e+01   -1.25877853e+01   -1.05000277e+01   -1.25877853e+01   -1.00000000e+00   -1.00000000e+02
   0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e+00    1.20000000e+01   -1.10000000e+01   -1.10000000e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.00000000e-10    1.25663706e-06    0.00000000e+00    1.00000126e+00    1.20000000e+01   -1.09999987e+01   -1.09999987e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   3.00000000e-10    3.76991118e-06    0.00000000e+00    1.00000377e+00    1.20000000e+01   -1.09999962e+01   -1.09999962e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   7.00000000e-10    8.79645943e-06    0.00000000e+00    1.00000880e+00    1.20000000e+01   -1.09999912e+01   -1.09999912e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.50000000e-09    1.88495559e-05    0.00000000e+00    1.00001885e+00    1.20000000e+01   -1.09999812e+01   -1.09999812e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   3.10000000e-09    3.89557489e-05    0.00000000e+00    1.00003896e+00    1.20000000e+01   -1.09999610e+01   -1.09999610e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   6.30000000e-09    7.91681348e-05    0.00000000e+00    1.00007917e+00    1.20000000e+01   -1.09999208e+01   -1.09999208e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.27000000e-08    1.59592907e-04    0.00000000e+00    1.00015959e+00    1.20000000e+01   -1.09998404e+01   -1.09998404e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.55000000e-08    3.20442449e-04    0.00000000e+00    1.00032044e+00    1.20000000e+01   -1.09996796e+01   -1.09996796e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   5.11000000e-08    6.42141527e-04    0.00000000e+00    1.00064214e+00    1.20000000e+01   -1.09993579e+01   -1.09993579e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.02300000e-07    1.28553963e-03    0.00000000e+00    1.00128554e+00    1.20000000e+01   -1.09987145e+01   -1.09987145e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.04700000e-07    2.57233536e-03    0.00000000e+00    1.00257234e+00    1.20000000e+01   -1.09974277e+01   -1.09974277e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   4.09500000e-07    5.14592309e-03    0.00000000e+00    1.00514592e+00    1.20000000e+01   -1.09948541e+01   -1.09948541e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   8.19100000e-07    1.02930687e-02    0.00000000e+00    1.01029307e+00    1.20000000e+01   -1.09897069e+01   -1.09897069e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.63830000e-06    2.05871214e-02    0.00000000e+00    1.02058712e+00    1.20000000e+01   -1.09794129e+01   -1.09794129e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   3.27670000e-06    4.11733178e-02    0.00000000e+00    1.04117332e+00    1.20000000e+01   -1.09588267e+01   -1.09588267e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   6.55350000e-06    8.23304396e-02    0.00000000e+00    1.08233044e+00    1.20000000e+01   -1.09176696e+01   -1.09176696e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.31071000e-05    1.64522557e-01    0.00000000e+00    1.16452256e+00    1.20000000e+01   -1.08354774e+01   -1.08354774e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.96607000e-05    2.46435752e-01    0.00000000e+00    1.24643575e+00    1.20000000e+01   -1.07535642e+01   -1.07535642e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.62143000e-05    3.27931154e-01    0.00000000e+00    1.32793115e+00    1.20000000e+01   -1.06720688e+01   -1.06720688e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   3.27679000e-05    4.08870598e-01    0.00000000e+00    1.40887060e+00    1.20000000e+01   -1.05911294e+01   -1.05911294e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   3.93215000e-05    4.89116866e-01    0.00000000e+00    1.48911687e+00    1.20000000e+01   -1.05108831e+01   -1.05108831e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   4.58751000e-05    5.68533912e-01    0.00000000e+00    1.56853391e+00    1.20000000e+01   -1.04314661e+01   -1.04314661e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   5.24287000e-05    6.46987096e-01    0.00000000e+00    1.64698710e+00    1.20000000e+01   -1.03530129e+01   -1.03530129e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   5.89823000e-05    7.24343413e-01    0.00000000e+00    1.72434341e+00    1.20000000e+01   -1.02756566e+01   -1.02756566e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   6.55359000e-05    8.00471718e-01    0.00000000e+00    1.80047172e+00    1.20000000e+01   -1.01995283e+01   -1.01995283e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   7.20895000e-05    8.75242947e-01    0.00000000e+00    1.87524295e+00    1.20000000e+01   -1.01247571e+01   -1.01247571e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   7.86431000e-05    9.48530337e-01    0.00000000e+00    1.94853034e+00    1.20000000e+01   -1.00514697e+01   -1.00514697e+01   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   8.51967000e-05    1.02020964e+00    0.00000000e+00    2.02020964e+00    1.20000000e+01   -9.97979036e+00   -9.97979036e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   9.17503000e-05    1.09015934e+00    0.00000000e+00    2.09015934e+00    1.20000000e+01   -9.90984066e+00   -9.90984066e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   9.83039000e-05    1.15826083e+00    0.00000000e+00    2.15826083e+00    1.20000000e+01   -9.84173917e+00   -9.84173917e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.04857500e-04    1.22439868e+00    0.00000000e+00    2.22439868e+00    1.20000000e+01   -9.77560132e+00   -9.77560132e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.11411100e-04    1.28846075e+00    0.00000000e+00    2.28846075e+00    1.20000000e+01   -9.71153925e+00   -9.71153925e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.17964700e-04    1.35033843e+00    0.00000000e+00    2.35033843e+00    1.20000000e+01   -9.64966157e+00   -9.64966157e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.24518300e-04    1.40992682e+00    0.00000000e+00    2.40992682e+00    1.20000000e+01   -9.59007318e+00   -9.59007318e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.31071900e-04    1.46712490e+00    0.00000000e+00    2.46712490e+00    1.20000000e+01   -9.53287510e+00   -9.53287510e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.37625500e-04    1.52183569e+00    0.00000000e+00    2.52183569e+00    1.20000000e+01   -9.47816431e+00   -9.47816431e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.44179100e-04    1.57396645e+00    0.00000000e+00    2.57396645e+00    1.20000000e+01   -9.42603355e+00   -9.42603355e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.50732700e-04    1.62342879e+00    0.00000000e+00    2.62342879e+00    1.20000000e+01   -9.37657121e+00   -9.37657121e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.57286300e-04    1.67013885e+00    0.00000000e+00    2.67013885e+00    1.20000000e+01   -9.32986115e+00   -9.32986115e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.63839900e-04    1.71401746e+00    0.00000000e+00    2.71401746e+00    1.20000000e+01   -9.28598254e+00   -9.28598254e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.70393500e-04    1.75499021e+00    0.00000000e+00    2.75499021e+00    1.20000000e+01   -9.24500979e+00   -9.24500979e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.76947100e-04    1.79298765e+00    0.00000000e+00    2.79298765e+00    1.20000000e+01   -9.20701235e+00   -9.20701235e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.83500700e-04    1.82794535e+00    0.00000000e+00    2.82794535e+00    1.20000000e+01   -9.17205465e+00   -9.17205465e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.90054300e-04    1.85980405e+00    0.00000000e+00    2.85980405e+00    1.20000000e+01   -9.14019595e+00   -9.14019595e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   1.96607900e-04    1.88850975e+00    0.00000000e+00    2.88850975e+00    1.20000000e+01   -9.11149025e+00   -9.11149025e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.00000000e-04    1.90211303e+00    0.00000000e+00    2.90211303e+00    1.20000000e+01   -9.09788697e+00   -9.09788697e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.00655360e-04    1.90464181e+00    3.27680000e-03    2.90464181e+00    1.20032768e+01   -9.09863499e+00   -9.09863499e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.01245184e-04    1.90689009e+00    6.22592000e-03    2.90689009e+00    1.20062259e+01   -9.09933583e+00   -9.09933583e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.02424832e-04    1.91130807e+00    1.21241600e-02    2.91130807e+00    1.20121242e+01   -9.10081609e+00   -9.10081609e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.04784128e-04    1.91982878e+00    2.39206400e-02    2.91982878e+00    1.20239206e+01   -9.10409186e+00   -9.10409186e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
   2.09502720e-04    1.93560280e+00    4.75136000e-02    2.93560280e+00    1.20475136e+01   -9.11191080e+00   -9.11191080e+00   -1.00000000e+00   -1.00000000e+00   -1.00000000e+02
