Index       TIME              V(1)              V(2)              I(V1)      
0        0.00000000e+00   -8.57886234e-30   -3.16617387e-02    3.15850050e-02
1        4.76190476e-07    1.47377587e+00    4.59982340e-01   -4.60054917e-01
2        9.52380952e-07    2.81660029e+00    7.88636013e-01   -9.63376411e-01
3        1.42857143e-06    3.90915741e+00    8.23472300e-01   -1.49525688e+00
4        1.90476190e-06    4.65436874e+00    8.34988994e-01   -1.88355981e+00
5        2.38095238e-06    4.98601899e+00    8.39027802e-01   -2.06479095e+00
6        2.85714286e-06    4.87463956e+00    8.38371087e-01   -2.03338818e+00
7        3.33333333e-06    4.33012702e+00    8.32393150e-01   -1.78078264e+00
8        3.80952381e-06    3.40086369e+00    8.17195608e-01   -1.34415833e+00
9        4.28571429e-06    2.16941870e+00    7.40229412e-01   -7.67048124e-01
10       4.76190476e-06    7.45211331e-01    2.78208793e-01   -2.78131414e-01
11       5.23809524e-06   -7.45211331e-01   -2.15827809e-01    2.15902313e-01
12       5.71428571e-06   -2.16941870e+00   -6.94806508e-01    6.94876312e-01
13       6.19047619e-06   -3.40086369e+00   -1.10935036e+00    1.10940605e+00
14       6.66666667e-06   -4.33012702e+00   -1.42729466e+00    1.42733367e+00
15       7.14285714e-06   -4.87463956e+00   -1.61687315e+00    1.61689012e+00
16       7.61904762e-06   -4.98601899e+00   -1.66405273e+00    1.66404772e+00
17       8.09523810e-06   -4.65436874e+00   -1.56229996e+00    1.56227208e+00
18       8.57142857e-06   -3.90915741e+00   -1.32266131e+00    1.32261420e+00
19       9.04761905e-06   -2.81660029e+00   -9.64675588e-01    9.64612409e-01
20       9.52380952e-06   -1.47377587e+00   -5.21720893e-01    5.21648194e-01
End of Xyce(TM) Simulation
