Index       FREQ            Re(V(1))          Im(V(1))          Re(V(2))          Im(V(2))          Re(I(V1))         Im(I(V1))    
0       -1.00000000e+05   -4.37184259e-17    2.31337949e-17   -2.18592129e-16    1.15668974e-16    6.81524463e-19   -8.01556787e-19
1       -9.00000000e+04   -4.75892220e-17   -4.78147995e-17   -2.37946110e-16   -2.39073998e-16    7.79503896e-19    9.26703507e-19
2       -8.00000000e+04   -4.92592159e-17    2.31337949e-17   -2.46296079e-16    1.15668974e-16    9.14730847e-19    1.50062949e-19
3       -7.00000000e+04   -1.82883571e-17   -8.07521733e-17   -9.14417853e-17   -4.03760866e-16    5.93326655e-19    9.48516311e-19
4       -6.00000000e+04   -4.48232852e-17   -4.63069588e-17   -2.24116426e-16   -2.31534794e-16    1.17515329e-18    1.09320845e-18
5       -5.00000000e+04    2.52115822e-17   -8.07521733e-17    1.26057911e-16   -4.03760866e-16   -3.99062715e-19    1.90013605e-18
6       -4.00000000e+04   -3.08063264e-17   -4.82280437e-17   -1.54031632e-16   -2.41140219e-16    5.10023925e-19    8.50273238e-19
7       -3.00000000e+04    5.40833790e-17   -3.99734529e-17    2.70416895e-16   -1.99867265e-16   -1.17816191e-18    8.73815020e-19
8       -2.00000000e+04    6.00278978e-17   -4.82280437e-17    3.00139489e-16   -2.41140219e-16   -1.42905114e-18    1.80189297e-18
9       -1.00000000e+04    9.38402795e-17    5.00000000e-01    4.69201397e-16    2.50000000e+00   -1.56538142e-18   -1.00000000e-02
10       0.00000000e+00    2.64338815e-18    0.00000000e+00    1.32169408e-17    0.00000000e+00   -1.65211760e-19    0.00000000e+00
11       1.00000000e+04    9.38402795e-17   -5.00000000e-01    4.69201397e-16   -2.50000000e+00   -1.56538142e-18    1.00000000e-02
12       2.00000000e+04    6.00278978e-17    4.82280437e-17    3.00139489e-16    2.41140219e-16   -1.42905114e-18   -1.80189297e-18
13       3.00000000e+04    5.40833790e-17    3.99734529e-17    2.70416895e-16    1.99867265e-16   -1.17816191e-18   -8.73815020e-19
14       4.00000000e+04   -3.08063264e-17    4.82280437e-17   -1.54031632e-16    2.41140219e-16    5.10023925e-19   -8.50273238e-19
15       5.00000000e+04    2.52115822e-17    8.07521733e-17    1.26057911e-16    4.03760866e-16   -3.99062715e-19   -1.90013605e-18
16       6.00000000e+04   -4.48232852e-17    4.63069588e-17   -2.24116426e-16    2.31534794e-16    1.17515329e-18   -1.09320845e-18
17       7.00000000e+04   -1.82883571e-17    8.07521733e-17   -9.14417853e-17    4.03760866e-16    5.93326655e-19   -9.48516311e-19
18       8.00000000e+04   -4.92592159e-17   -2.31337949e-17   -2.46296079e-16   -1.15668974e-16    9.14730847e-19   -1.50062949e-19
19       9.00000000e+04   -4.75892220e-17    4.78147995e-17   -2.37946110e-16    2.39073998e-16    7.79503896e-19   -9.26703507e-19
20       1.00000000e+05   -4.37184259e-17   -2.31337949e-17   -2.18592129e-16   -1.15668974e-16    6.81524463e-19    8.01556787e-19
End of Xyce(TM) Simulation
