Index       V(B)             I(V_C)      
0        5.00000000e-01    7.27826372e-09
1        5.10000000e-01    1.06795916e-08
2        5.20000000e-01    1.56698302e-08
3        5.30000000e-01    2.29908835e-08
4        5.40000000e-01    3.37308776e-08
5        5.50000000e-01    4.94856248e-08
6        5.60000000e-01    7.25953242e-08
7        5.70000000e-01    1.06491522e-07
8        5.80000000e-01    1.56205627e-07
9        5.90000000e-01    2.29114107e-07
10       6.00000000e-01    3.36030329e-07
11       6.10000000e-01    4.92803991e-07
12       6.20000000e-01    7.22663494e-07
13       6.30000000e-01    1.05964527e-06
14       6.40000000e-01    1.55361225e-06
15       6.50000000e-01    2.27759371e-06
16       6.60000000e-01    3.33851168e-06
17       6.70000000e-01    4.89283886e-06
18       6.80000000e-01    7.16941977e-06
19       6.90000000e-01    1.05026564e-05
20       7.00000000e-01    1.53806093e-05
21       7.10000000e-01    2.25143868e-05
22       7.20000000e-01    3.29375536e-05
23       7.30000000e-01    4.81470950e-05
24       7.40000000e-01    7.03002965e-05
25       7.50000000e-01    1.02483512e-04
26       7.60000000e-01    1.49066455e-04
27       7.70000000e-01    2.16144045e-04
28       7.80000000e-01    3.12038157e-04
29       7.90000000e-01    4.47773300e-04
30       8.00000000e-01    6.37351346e-04
31       8.10000000e-01    8.97561088e-04
32       8.20000000e-01    1.24704127e-03
33       8.30000000e-01    1.70444643e-03
34       8.40000000e-01    2.28584667e-03
35       8.50000000e-01    3.00175521e-03
36       8.60000000e-01    3.85416229e-03
37       8.70000000e-01    4.83432842e-03
38       8.80000000e-01    5.92478481e-03
39       8.90000000e-01    7.10790289e-03
40       9.00000000e-01    8.37181391e-03
41       9.10000000e-01    9.70821835e-03
42       9.20000000e-01    1.11093501e-02
43       9.30000000e-01    1.25673971e-02
44       9.40000000e-01    1.40748779e-02
45       9.50000000e-01    1.56249413e-02
46       9.60000000e-01    1.72114579e-02
47       9.70000000e-01    1.88290007e-02
48       9.80000000e-01    2.04727785e-02
49       9.90000000e-01    2.21385571e-02
50       1.00000000e+00    2.38225831e-02
51       1.01000000e+00    2.55215159e-02
52       1.02000000e+00    2.72323693e-02
53       1.03000000e+00    2.89524636e-02
54       1.04000000e+00    3.06793866e-02
55       1.05000000e+00    3.24109608e-02
56       1.06000000e+00    3.41452182e-02
57       1.07000000e+00    3.58803784e-02
58       1.08000000e+00    3.76148310e-02
59       1.09000000e+00    3.93471199e-02
60       1.10000000e+00    4.10759304e-02
61       1.11000000e+00    4.28000765e-02
62       1.12000000e+00    4.45184889e-02
63       1.13000000e+00    4.62302016e-02
64       1.14000000e+00    4.79343348e-02
65       1.15000000e+00    4.96300682e-02
66       1.16000000e+00    5.13165932e-02
67       1.17000000e+00    5.29930205e-02
68       1.18000000e+00    5.46582008e-02
69       1.19000000e+00    5.63103993e-02
70       1.20000000e+00    5.79467939e-02
0        5.00000000e-01    2.54779082e-06
1        5.10000000e-01    3.45700286e-06
2        5.20000000e-01    4.69024614e-06
3        5.30000000e-01    6.36273972e-06
4        5.40000000e-01    8.63049738e-06
5        5.50000000e-01    1.17046443e-05
6        5.60000000e-01    1.58706605e-05
7        5.70000000e-01    2.15141680e-05
8        5.80000000e-01    2.91553475e-05
9        5.90000000e-01    3.94946188e-05
10       6.00000000e-01    5.34728151e-05
11       6.10000000e-01    7.23496372e-05
12       6.20000000e-01    9.78044826e-05
13       6.30000000e-01    1.32063453e-04
14       6.40000000e-01    1.78054782e-04
15       6.50000000e-01    2.39591055e-04
16       6.60000000e-01    3.21568794e-04
17       6.70000000e-01    4.30162720e-04
18       6.80000000e-01    5.72973240e-04
19       6.90000000e-01    7.59065533e-04
20       7.00000000e-01    9.98823506e-04
21       7.10000000e-01    1.30353388e-03
22       7.20000000e-01    1.68460974e-03
23       7.30000000e-01    2.15233935e-03
24       7.40000000e-01    2.71396765e-03
25       7.50000000e-01    3.37101373e-03
26       7.60000000e-01    4.11736709e-03
27       7.70000000e-01    4.94236135e-03
28       7.80000000e-01    5.83740110e-03
29       7.90000000e-01    6.79766423e-03
30       8.00000000e-01    7.81957107e-03
31       8.10000000e-01    8.89919505e-03
32       8.20000000e-01    1.00321581e-02
33       8.30000000e-01    1.12139350e-02
34       8.40000000e-01    1.24400914e-02
35       8.50000000e-01    1.37064017e-02
36       8.60000000e-01    1.50088920e-02
37       8.70000000e-01    1.63438468e-02
38       8.80000000e-01    1.77077981e-02
39       8.90000000e-01    1.90975059e-02
40       9.00000000e-01    2.05099370e-02
41       9.10000000e-01    2.19422453e-02
42       9.20000000e-01    2.33917539e-02
43       9.30000000e-01    2.48559408e-02
44       9.40000000e-01    2.63324271e-02
45       9.50000000e-01    2.78189639e-02
46       9.60000000e-01    2.93134149e-02
47       9.70000000e-01    3.08137240e-02
48       9.80000000e-01    3.23178501e-02
49       9.90000000e-01    3.38236308e-02
50       1.00000000e+00    3.53285171e-02
51       1.01000000e+00    3.68291183e-02
52       1.02000000e+00    3.83206199e-02
53       1.03000000e+00    3.97963321e-02
54       1.04000000e+00    4.12473548e-02
55       1.05000000e+00    4.26617057e-02
56       1.06000000e+00    4.40233056e-02
57       1.07000000e+00    4.53129735e-02
58       1.08000000e+00    4.65119132e-02
59       1.09000000e+00    4.76048835e-02
60       1.10000000e+00    4.85813966e-02
61       1.11000000e+00    4.94360897e-02
62       1.12000000e+00    5.01690669e-02
63       1.13000000e+00    5.07858846e-02
64       1.14000000e+00    5.12967276e-02
65       1.15000000e+00    5.17147432e-02
66       1.16000000e+00    5.20540245e-02
67       1.17000000e+00    5.23279272e-02
68       1.18000000e+00    5.25481044e-02
69       1.19000000e+00    5.27242138e-02
70       1.20000000e+00    5.28640402e-02
End of Xyce(TM) Parameter Sweep
