Index       TIME              V(3)              V(1)       
0        0.00000000e+00    4.28133107e+00    1.44000000e+00
1        5.00000000e-10    4.25261379e+00    1.47090170e+00
2        9.02101163e-10    4.21501556e+00    1.49369410e+00
3        1.26399221e-09    4.17348757e+00    1.51132959e+00
4        1.62588326e-09    4.12964524e+00    1.52529300e+00
5        2.34966535e-09    4.04274266e+00    1.53955422e+00
6        3.07344744e-09    3.98047829e+00    1.53357884e+00
7        3.79722954e-09    3.96643252e+00    1.50858150e+00
8        4.52101163e-09    4.01001682e+00    1.46964346e+00
9        5.24479372e-09    4.10430577e+00    1.42467973e+00
10       5.96857582e-09    4.22899829e+00    1.38283018e+00
11       6.69235791e-09    4.35679800e+00    1.35260166e+00
12       7.41614000e-09    4.46198381e+00    1.34013878e+00
13       8.13992210e-09    4.52644568e+00    1.34797490e+00
14       8.86370419e-09    4.54158864e+00    1.37451715e+00
15       9.58748629e-09    4.50617453e+00    1.41437023e+00
16       1.03112684e-08    4.42529819e+00    1.45943313e+00
17       1.10350505e-08    4.31149404e+00    1.50054581e+00
18       1.17588326e-08    4.18562495e+00    1.52935123e+00
19       1.24826147e-08    4.07393949e+00    1.53999403e+00
20       1.32063968e-08    4.00205363e+00    1.53031085e+00
21       1.39301788e-08    3.98757027e+00    1.50226999e+00
22       1.46539609e-08    4.03461051e+00    1.46157138e+00
23       1.53777430e-08    4.13205924e+00    1.41648791e+00
24       1.61015251e-08    4.25679603e+00    1.37618379e+00
25       1.68253072e-08    4.38063307e+00    1.34885173e+00
26       1.75490893e-08    4.47847698e+00    1.34004756e+00
27       1.82728714e-08    4.53375422e+00    1.35156093e+00
28       1.89966535e-08    4.53921946e+00    1.38105150e+00
29       1.97204356e-08    4.49472002e+00    1.42252464e+00
30       2.04442177e-08    4.40650242e+00    1.46755004e+00
31       2.11679998e-08    4.28864401e+00    1.50697528e+00
32       2.18917819e-08    4.16329482e+00    1.53278633e+00
33       2.26155640e-08    4.05712215e+00    1.53973650e+00
34       2.33393461e-08    3.99478552e+00    1.52641303e+00
35       2.40631282e-08    3.99174409e+00    1.49552420e+00
36       2.47869102e-08    4.04929406e+00    1.45334886e+00
37       2.55106923e-08    4.15374758e+00    1.40846006e+00
38       2.62344744e-08    4.28043998e+00    1.36998246e+00
39       2.69582565e-08    4.40118041e+00    1.34573746e+00
40       2.76820386e-08    4.49215125e+00    1.34065341e+00
41       2.84058207e-08    4.53858111e+00    1.35576374e+00
42       2.91296028e-08    4.53469766e+00    1.38799695e+00
43       2.98533849e-08    4.48149301e+00    1.43080093e+00
44       3.05771670e-08    4.38651843e+00    1.47547482e+00
45       3.13009491e-08    4.26542074e+00    1.51293767e+00
46       3.20247312e-08    4.14155350e+00    1.53557433e+00
47       3.27485133e-08    4.04176649e+00    1.53878340e+00
48       3.34722954e-08    3.98953423e+00    1.52191257e+00
49       3.41960775e-08    3.99798732e+00    1.48839120e+00
50       3.49198596e-08    4.06558320e+00    1.44503324e+00
51       3.56436417e-08    4.17618887e+00    1.40065218e+00
52       3.63674237e-08    4.30386787e+00    1.36426942e+00
53       3.70912058e-08    4.42069354e+00    1.34328058e+00
54       3.78149879e-08    4.50429729e+00    1.34195209e+00
55       3.85387700e-08    4.54169141e+00    1.36055400e+00
56       3.92625521e-08    4.52849538e+00    1.39530507e+00
57       3.99863342e-08    4.46683269e+00    1.43914136e+00
58       4.07101163e-08    4.36563115e+00    1.48315220e+00
59       4.14338984e-08    4.24209273e+00    1.51839139e+00
60       4.21576805e-08    4.12063435e+00    1.53769581e+00
61       4.28814626e-08    4.02804391e+00    1.53714140e+00
62       4.36052447e-08    3.98637251e+00    1.51684085e+00
63       4.43290268e-08    4.00626707e+00    1.48092071e+00
64       4.50528089e-08    4.08335175e+00    1.43668253e+00
65       4.57765910e-08    4.19921118e+00    1.39311870e+00
66       4.65003731e-08    4.32691333e+00    1.35908453e+00
67       4.72241551e-08    4.43905794e+00    1.34149821e+00
68       4.79479372e-08    4.51486055e+00    1.34393455e+00
69       4.86717193e-08    4.54307810e+00    1.36589832e+00
70       4.93955014e-08    4.52064013e+00    1.40292489e+00
71       5.01192835e-08    4.45081445e+00    1.44748779e+00
72       5.08430656e-08    4.34396929e+00    1.49052863e+00
73       5.15668477e-08    4.21882740e+00    1.52329842e+00
74       5.22906298e-08    4.10070242e+00    1.53913596e+00
75       5.30144119e-08    4.01607139e+00    1.53482193e+00
76       5.37381940e-08    3.98533078e+00    1.51123326e+00
77       5.44619761e-08    4.01651624e+00    1.47316485e+00
78       5.51857582e-08    4.10245286e+00    1.42835495e+00
79       5.59095403e-08    4.22263389e+00    1.38591217e+00
80       5.66333224e-08    4.34941431e+00    1.35446393e+00
81       5.73571045e-08    4.45616827e+00    1.34040279e+00
82       5.80808866e-08    4.52379598e+00    1.34658697e+00
83       5.88046686e-08    4.54273970e+00    1.37175942e+00
84       5.95284507e-08    4.51116701e+00    1.41080327e+00
85       6.02522328e-08    4.43352306e+00    1.45578200e+00
86       6.09760149e-08    4.32167076e+00    1.49755269e+00
87       6.16997970e-08    4.19579491e+00    1.52762452e+00
88       6.24235791e-08    4.08191754e+00    1.53988474e+00
89       6.31473612e-08    4.00595202e+00    1.53184118e+00
90       6.38711433e-08    3.98642165e+00    1.50512888e+00
91       6.45949254e-08    4.02865062e+00    1.46517769e+00
92       6.53187075e-08    4.12272963e+00    1.42010858e+00
93       6.60424896e-08    4.24627584e+00    1.37908284e+00
94       6.67662717e-08    4.37121733e+00    1.35043986e+00
95       6.74900538e-08    4.47193082e+00    1.34000195e+00
96       6.82138359e-08    4.53106808e+00    1.34989085e+00
97       6.89376180e-08    4.54068112e+00    1.37809643e+00
98       6.96614000e-08    4.50011914e+00    1.41888527e+00
99       7.03851821e-08    4.41505337e+00    1.46396614e+00
100      7.11089642e-08    4.29888186e+00    1.50417537e+00
101      7.18327463e-08    4.17316702e+00    1.53133954e+00
102      7.25565284e-08    4.06443250e+00    1.53993693e+00
103      7.32803105e-08    3.99777410e+00    1.52821994e+00
104      7.40040926e-08    3.98963956e+00    1.49857030e+00
105      7.47278747e-08    4.04256992e+00    1.45701495e+00
106      7.54516568e-08    4.14401667e+00    1.41200094e+00
107      7.61754389e-08    4.26995731e+00    1.37267835e+00
108      7.68992210e-08    4.39217846e+00    1.34704038e+00
109      7.76230031e-08    4.48626358e+00    1.34029850e+00
110      7.83467852e-08    4.53665003e+00    1.35382315e+00
111      7.90705673e-08    4.53691364e+00    1.38486514e+00
112      7.97943494e-08    4.48754823e+00    1.42711452e+00
113      8.05181315e-08    4.39551043e+00    1.47198315e+00
