Index    FREQ    Re(V(1))    Im(V(1))    VR(1)    VI(1)    VM(1)    VP(1)    VDB(1)    Re(I(V1))    Im(I(V1))    IR(V1)    II(V1)    IM(V1)    IP(V1)    IDB(V1)    
36   -1.40000000e+005   -1.68792493e-004   5.70331512e-005   -1.68792493e-004   5.70331512e-005   1.78167579e-004   2.81574749e+000   -7.49834264e+001   1.68742324e-007   -5.71816288e-008   1.68742324e-007   -5.71816288e-008   1.78167648e-007   -3.26724811e-001   -1.34983423e+002   
37   -1.30000000e+005   -3.74108500e-003   2.84154590e-003   -3.74108500e-003   2.84154590e-003   4.69788251e-003   2.49200670e+000   -4.65619570e+001   3.73876399e-006   -2.84460167e-006   3.73876399e-006   -2.84460167e-006   4.69788408e-006   -6.50402769e-001   -1.06561954e+002   
38   -1.20000000e+005   -5.08349931e-005   1.34652964e-004   -5.08349931e-005   1.34652964e-004   1.43929209e-004   1.93177972e+000   -7.68370212e+001   5.07334672e-008   -1.34691292e-007   5.07334672e-008   -1.34691292e-007   1.43929250e-007   -1.21056692e+000   -1.36837019e+002   
39   -1.10000000e+005   -7.16292967e-004   2.35062863e-003   -7.16292967e-004   2.35062863e-003   2.45734218e-003   1.86658141e+000   -5.21906873e+001   7.14668329e-007   -2.35112370e-006   7.14668329e-007   -2.35112370e-006   2.45734276e-006   -1.27570239e+000   -1.12190685e+002   
40   -1.00000000e+005   1.28283817e-004   7.12712794e-005   1.28283817e-004   7.12712794e-005   1.46752625e-004   5.07113351e-001   -7.66682825e+001   -1.28328598e-007   -7.11906763e-008   -1.28328598e-007   -7.11906763e-008   1.46752654e-007   -2.63510762e+000   -1.36668281e+002   
41   -9.00000000e+004   -1.23590799e-003   -3.60499120e-003   -1.23590799e-003   -3.60499120e-003   3.81096184e-003   -1.90107159e+000   -4.83793080e+001   1.23794657e-006   3.60429232e-006   1.23794657e-006   3.60429232e-006   3.81096245e-006   1.23995557e+000   -1.08379307e+002   
42   -8.00000000e+004   2.23863609e-004   -1.58825582e-004   2.23863609e-004   -1.58825582e-004   2.74482205e-004   -6.17056605e-001   -7.12297161e+001   -2.23783774e-007   1.58938108e-007   -2.23783774e-007   1.58938108e-007   2.74482239e-007   2.52403339e+000   -1.31229715e+002   
43   -7.00000000e+004   -1.32268815e-002   -9.34829856e-003   -1.32268815e-002   -9.34829856e-003   1.61969466e-002   -2.52634075e+000   -3.58113370e+001   1.32309931e-005   9.34248107e-006   1.32309931e-005   9.34248107e-006   1.61969482e-005   6.14812079e-001   -9.58113361e+001   
44   -6.00000000e+004   1.00357670e-004   -4.47654575e-004   1.00357670e-004   -4.47654575e-004   4.58766041e-004   -1.35025726e+000   -6.67681747e+001   -1.00188908e-007   4.47692409e-007   -1.00188908e-007   4.47692409e-007   4.58766074e-007   1.79095840e+000   -1.26768174e+002   
45   -5.00000000e+004   -3.89976137e-002   3.79877955e-004   -3.89976137e-002   3.79877955e-004   3.89994639e-002   3.13185191e+000   -2.81788273e+001   3.89974944e-005   -3.92129417e-007   3.89974944e-005   -3.92129417e-007   3.89994658e-005   -1.00549076e-002   -8.81788268e+001   
