Index       TIME              V(1)              VR(1)             VI(1)             I(R1)            IR(R1)            II(R1)      
0        2.00000000e-04    4.65317230e-01    4.65317230e-01    0.00000000e+00    4.65317230e-04    4.65317230e-04    0.00000000e+00
1        2.00000100e-04    4.65327217e-01    4.65327217e-01    0.00000000e+00    4.65327217e-04    4.65327217e-04    0.00000000e+00
2        2.00000300e-04    4.65347213e-01    4.65347213e-01    0.00000000e+00    4.65347213e-04    4.65347213e-04    0.00000000e+00
3        2.00000700e-04    4.65387202e-01    4.65387202e-01    0.00000000e+00    4.65387202e-04    4.65387202e-04    0.00000000e+00
4        2.00001500e-04    4.65467173e-01    4.65467173e-01    0.00000000e+00    4.65467173e-04    4.65467173e-04    0.00000000e+00
5        2.00003100e-04    4.65627090e-01    4.65627090e-01    0.00000000e+00    4.65627090e-04    4.65627090e-04    0.00000000e+00
6        2.00006300e-04    4.65946821e-01    4.65946821e-01    0.00000000e+00    4.65946821e-04    4.65946821e-04    0.00000000e+00
7        2.00012700e-04    4.66585876e-01    4.66585876e-01    0.00000000e+00    4.66585876e-04    4.66585876e-04    0.00000000e+00
8        2.00025500e-04    4.67862379e-01    4.67862379e-01    0.00000000e+00    4.67862379e-04    4.67862379e-04    0.00000000e+00
9        2.00051100e-04    4.70409178e-01    4.70409178e-01    0.00000000e+00    4.70409178e-04    4.70409178e-04    0.00000000e+00
10       2.00102300e-04    4.75479568e-01    4.75479568e-01    0.00000000e+00    4.75479568e-04    4.75479568e-04    0.00000000e+00
11       2.00204700e-04    4.85539085e-01    4.85539085e-01    0.00000000e+00    4.85539085e-04    4.85539085e-04    0.00000000e+00
12       2.00409500e-04    5.05407713e-01    5.05407713e-01    0.00000000e+00    5.05407713e-04    5.05407713e-04    0.00000000e+00
13       2.00819100e-04    5.44543457e-01    5.44543457e-01    0.00000000e+00    5.44543457e-04    5.44543457e-04    0.00000000e+00
14       2.01228700e-04    5.83380612e-01    5.83380612e-01    0.00000000e+00    5.83380612e-04    5.83380612e-04    0.00000000e+00
15       2.02047900e-04    6.60704835e-01    6.60704835e-01    0.00000000e+00    6.60704835e-04    6.60704835e-04    0.00000000e+00
16       2.03686300e-04    8.15993970e-01    8.15993970e-01    0.00000000e+00    8.15993970e-04    8.15993970e-04    0.00000000e+00
17       2.05324700e-04    9.72589487e-01    9.72589487e-01    0.00000000e+00    9.72589487e-04    9.72589487e-04    0.00000000e+00
18       2.06963100e-04    1.13025843e+00    1.13025843e+00    0.00000000e+00    1.13025843e-03    1.13025843e-03    0.00000000e+00
19       2.08601500e-04    1.28874318e+00    1.28874318e+00    0.00000000e+00    1.28874318e-03    1.28874318e-03    0.00000000e+00
20       2.10000000e-04    1.42452841e+00    1.42452841e+00    0.00000000e+00    1.42452841e-03    1.42452841e-03    0.00000000e+00
21       2.10327680e-04    1.42389607e+00    1.42389607e+00    0.00000000e+00    1.42389607e-03    1.42389607e-03    0.00000000e+00
22       2.10983040e-04    1.42322269e+00    1.42322269e+00    0.00000000e+00    1.42322269e-03    1.42322269e-03    0.00000000e+00
23       2.12293760e-04    1.42272362e+00    1.42272362e+00    0.00000000e+00    1.42272362e-03    1.42272362e-03    0.00000000e+00
24       2.13604480e-04    1.42254664e+00    1.42254664e+00    0.00000000e+00    1.42254664e-03    1.42254664e-03    0.00000000e+00
25       2.16225920e-04    1.42246621e+00    1.42246621e+00    0.00000000e+00    1.42246621e-03    1.42246621e-03    0.00000000e+00
26       2.21468800e-04    1.42244617e+00    1.42244617e+00    0.00000000e+00    1.42244617e-03    1.42244617e-03    0.00000000e+00
27       2.31468800e-04    1.42244365e+00    1.42244365e+00    0.00000000e+00    1.42244365e-03    1.42244365e-03    0.00000000e+00
28       2.41468800e-04    1.42244348e+00    1.42244348e+00    0.00000000e+00    1.42244348e-03    1.42244348e-03    0.00000000e+00
29       2.50000000e-04    1.42244347e+00    1.42244347e+00    0.00000000e+00    1.42244347e-03    1.42244347e-03    0.00000000e+00
30       2.50062500e-04    1.41620644e+00    1.41620644e+00    0.00000000e+00    1.41620644e-03    1.41620644e-03    0.00000000e+00
31       2.50125000e-04    1.40998061e+00    1.40998061e+00    0.00000000e+00    1.40998061e-03    1.40998061e-03    0.00000000e+00
32       2.50250000e-04    1.39756769e+00    1.39756769e+00    0.00000000e+00    1.39756769e-03    1.39756769e-03    0.00000000e+00
33       2.50500000e-04    1.37286047e+00    1.37286047e+00    0.00000000e+00    1.37286047e-03    1.37286047e-03    0.00000000e+00
34       2.51000000e-04    1.32374627e+00    1.32374627e+00    0.00000000e+00    1.32374627e-03    1.32374627e-03    0.00000000e+00
35       2.52000000e-04    1.22612560e+00    1.22612560e+00    0.00000000e+00    1.22612560e-03    1.22612560e-03    0.00000000e+00
36       2.54000000e-04    1.03207134e+00    1.03207134e+00    0.00000000e+00    1.03207134e-03    1.03207134e-03    0.00000000e+00
37       2.56000000e-04    8.39321801e-01    8.39321801e-01    0.00000000e+00    8.39321801e-04    8.39321801e-04    0.00000000e+00
38       2.58000000e-04    6.48267318e-01    6.48267318e-01    0.00000000e+00    6.48267318e-04    6.48267318e-04    0.00000000e+00
39       2.60000000e-04    4.59876282e-01    4.59876282e-01    0.00000000e+00    4.59876282e-04    4.59876282e-04    0.00000000e+00
40       2.61000000e-04    4.62890560e-01    4.62890560e-01    0.00000000e+00    4.62890560e-04    4.62890560e-04    0.00000000e+00
41       2.61814913e-04    4.64117202e-01    4.64117202e-01    0.00000000e+00    4.64117202e-04    4.64117202e-04    0.00000000e+00
42       2.62629827e-04    4.64733274e-01    4.64733274e-01    0.00000000e+00    4.64733274e-04    4.64733274e-04    0.00000000e+00
43       2.63444740e-04    4.65035311e-01    4.65035311e-01    0.00000000e+00    4.65035311e-04    4.65035311e-04    0.00000000e+00
44       2.65074566e-04    4.65226248e-01    4.65226248e-01    0.00000000e+00    4.65226248e-04    4.65226248e-04    0.00000000e+00
45       2.66704393e-04    4.65288441e-01    4.65288441e-01    0.00000000e+00    4.65288441e-04    4.65288441e-04    0.00000000e+00
46       2.69964046e-04    4.65311820e-01    4.65311820e-01    0.00000000e+00    4.65311820e-04    4.65311820e-04    0.00000000e+00
47       2.76483352e-04    4.65316754e-01    4.65316754e-01    0.00000000e+00    4.65316754e-04    4.65316754e-04    0.00000000e+00
48       2.86483352e-04    4.65317303e-01    4.65317303e-01    0.00000000e+00    4.65317303e-04    4.65317303e-04    0.00000000e+00
49       2.96483352e-04    4.65317342e-01    4.65317342e-01    0.00000000e+00    4.65317342e-04    4.65317342e-04    0.00000000e+00
50       3.00000000e-04    4.65317344e-01    4.65317344e-01    0.00000000e+00    4.65317344e-04    4.65317344e-04    0.00000000e+00
End of Xyce(TM) Simulation
