Index       TIME              R1:R              R2:R              V(1)              V(2)
0        0.00000000e+00    1.00000000e+00    3.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-02    1.00000000e+00    3.00000000e+00    6.27765091e-02    4.70823818e-02
2        2.00000000e-02    1.00000000e+00    3.00000000e+00    1.25331306e-01    9.39984792e-02
3        3.00000000e-02    1.00000000e+00    3.00000000e+00    1.87339637e-01    1.40504728e-01
4        4.00000000e-02    1.00000000e+00    3.00000000e+00    2.48681917e-01    1.86511437e-01
5        5.00000000e-02    1.00000000e+00    3.00000000e+00    3.08948700e-01    2.31711525e-01
6        6.00000000e-02    1.00000000e+00    3.00000000e+00    3.68106870e-01    2.76080152e-01
7        7.00000000e-02    1.00000000e+00    3.00000000e+00    4.25686097e-01    3.19264573e-01
8        8.00000000e-02    1.00000000e+00    3.00000000e+00    4.81723163e-01    3.61292372e-01
9        9.00000000e-02    1.00000000e+00    3.00000000e+00    5.35711030e-01    4.01783273e-01
10       1.00000000e-01    1.00000000e+00    3.00000000e+00    5.87739438e-01    4.40804579e-01
11       1.10000000e-01    1.00000000e+00    3.00000000e+00    6.37288532e-01    4.77966399e-01
12       1.20000000e-01    1.00000000e+00    3.00000000e+00    6.84484222e-01    5.13363166e-01
13       1.30000000e-01    1.00000000e+00    3.00000000e+00    7.28816811e-01    5.46612608e-01
14       1.40000000e-01    1.00000000e+00    3.00000000e+00    7.70432271e-01    5.77824203e-01
15       1.50000000e-01    1.00000000e+00    3.00000000e+00    8.08852515e-01    6.06639386e-01
16       1.60000000e-01    1.00000000e+00    3.00000000e+00    8.44228616e-01    6.33171462e-01
17       1.70000000e-01    1.00000000e+00    3.00000000e+00    8.76133480e-01    6.57100110e-01
18       1.80000000e-01    1.00000000e+00    3.00000000e+00    9.04709918e-01    6.78532439e-01
19       1.90000000e-01    1.00000000e+00    3.00000000e+00    9.29598637e-01    6.97198978e-01
20       2.00000000e-01    1.00000000e+00    3.00000000e+00    9.50922805e-01    7.13192104e-01
21       2.10000000e-01    1.00000000e+00    3.00000000e+00    9.68404738e-01    7.26303554e-01
22       2.20000000e-01    1.00000000e+00    3.00000000e+00    9.82138896e-01    7.36604172e-01
23       2.30000000e-01    1.00000000e+00    3.00000000e+00    9.91939658e-01    7.43954744e-01
24       2.40000000e-01    1.00000000e+00    3.00000000e+00    9.97866277e-01    7.48399708e-01
25       2.50000000e-01    1.00000000e+00    3.00000000e+00    9.99832045e-01    7.49874034e-01
26       2.60000000e-01    1.00000000e+00    3.00000000e+00    9.97857259e-01    7.48392944e-01
27       2.70000000e-01    1.00000000e+00    3.00000000e+00    9.91957181e-01    7.43967886e-01
28       2.80000000e-01    1.00000000e+00    3.00000000e+00    9.82112267e-01    7.36584201e-01
29       2.90000000e-01    1.00000000e+00    3.00000000e+00    9.68438951e-01    7.26329213e-01
30       3.00000000e-01    1.00000000e+00    3.00000000e+00    9.50879839e-01    7.13159879e-01
31       3.10000000e-01    1.00000000e+00    3.00000000e+00    9.29647896e-01    6.97235922e-01
32       3.20000000e-01    1.00000000e+00    3.00000000e+00    9.04652695e-01    6.78489522e-01
33       3.30000000e-01    1.00000000e+00    3.00000000e+00    8.76195376e-01    6.57146532e-01
34       3.40000000e-01    1.00000000e+00    3.00000000e+00    8.44159972e-01    6.33119979e-01
35       3.50000000e-01    1.00000000e+00    3.00000000e+00    8.08923933e-01    6.06692950e-01
36       3.60000000e-01    1.00000000e+00    3.00000000e+00    7.70355721e-01    5.77766791e-01
37       3.70000000e-01    1.00000000e+00    3.00000000e+00    7.28894021e-01    5.46670516e-01
38       3.80000000e-01    1.00000000e+00    3.00000000e+00    6.84403864e-01    5.13302898e-01
39       3.90000000e-01    1.00000000e+00    3.00000000e+00    6.37367283e-01    4.78025462e-01
40       4.00000000e-01    1.00000000e+00    3.00000000e+00    5.87659842e-01    4.40744882e-01
41       4.10000000e-01    1.00000000e+00    3.00000000e+00    5.35786672e-01    4.01840004e-01
42       4.20000000e-01    1.00000000e+00    3.00000000e+00    4.81649246e-01    3.61236934e-01
43       4.30000000e-01    1.00000000e+00    3.00000000e+00    4.25753704e-01    3.19315278e-01
44       4.40000000e-01    1.00000000e+00    3.00000000e+00    3.68043758e-01    2.76032818e-01
45       4.50000000e-01    1.00000000e+00    3.00000000e+00    3.09003215e-01    2.31752411e-01
46       4.60000000e-01    1.00000000e+00    3.00000000e+00    2.48634802e-01    1.86476101e-01
